Description	Code
Write a python program to sort alphabetically the words form a string provided by the user	"

my_str = ""Hello this Is an Example With cased letters""


words = [word.lower() for word in my_str.split()]


words.sort()


print(""The sorted words are:"")
for word in words:
<TAB>print(word)
"
write a python function to find the area of a circle using the user provided diameter	"

def area_of_circle(diameter):
<TAB>PI = 3.14
<TAB>area = (PI / 4) * (diameter * diameter)
<TAB>print(f'Area Of a Circle {area}')
"
write a function to find length of list	"def get_list_length(l):
<TAB>return len(l)
"
33 write a program to reverse words of string	"
def rev_sentence(sentence):
<TAB>words = sentence.split(' ')
<TAB>reverse_sentence = ' '.join(reversed(words))
<TAB>return reverse_sentence


if __name__ == ""__main__"":
<TAB>input = 'have a good day'
<TAB>print(rev_sentence(input))
"
Write a python program to Implement Comb sort and print the sorted list for the below list	"

def comb_sort(alist):
<TAB>def swap(i, j):
        alist[i], alist[j] = alist[j], alist[i]

<TAB>gap = len(alist)
<TAB>shrink = 1.3

<TAB>no_swap = False
<TAB>while not no_swap:
        gap = int(gap / shrink)

        if gap < 1:
            gap = 1
            no_swap = True
        else:
            no_swap = False

        i = 0
        while i + gap < len(alist):
            if alist[i] > alist[i + gap]:
                swap(i, i + gap)
                no_swap = False
            i = i + 1


alist = [2, 3, 5, 6, 4, 5]
comb_sort(alist)
print('Sorted list: ', end='')
print(alist)
"
write a python function to read first n lines from a file	"

def file_read_from_head(fname, nlines):
<TAB>from itertools import islice
<TAB>with open(fname) as f:
        for line in islice(f, nlines):
            print(line)
"
77 By using list comprehension, write a program to print the list after removing delete numbers which are divisible by 5 and 7 in [12,24,35,70,88,120,155].	"li = [12, 24, 35, 70, 88, 120, 155]
li = [x for x in li if x % 5 != 0 and x % 7 != 0]
print(li)
"
Write a function to Subtracts two lists element wise	"def sub_listelements(l1: list, l2: list):
<TAB>return [i - j for i, j in zip(l1, l2)]
"
Write a python program code to perform Triple quote String concatenation Using splitlines() + join() + strip()	"

test_str1 = """"""India
is""""""
test_str2 = """"""best
for everybody
""""""


print(""The original string 1 is : "" + test_str1)
print(""The original string 2 is : "" + test_str2)

test_str1 = test_str1.splitlines()
test_str2 = test_str2.splitlines()
res = []

for i, j in zip(test_str1, test_str2):
<TAB>res.append(""   "" + i.strip() + "" "" + j.strip())
res = '\n'.join(res)


print(""String after concatenation : "" + str(res))
"
Please write a program to print the list after removing delete even numbers in [5,6,77,45,22,12,24].	"li = [5, 6, 77, 45, 22, 12, 24]
li = [x for x in li if x % 2 != 0]
print(li)
"
Write a Python function to check whether a person is eligible for voting or not based on their age	"def vote_eligibility(age):
<TAB>if age >= 18:
        status = ""Eligible""
<TAB>else:
        status = ""Not Eligible""
<TAB>return status
"
Write a Python function to remove falsy values from a list	"def newlist(lst):
<TAB>return list(filter(None, lst))
"
using replace() to create eval friendly string	"temp = test_str.replace(',', '+').replace('x', '*')
"
write a  Python3 code to demonstrate working of Sort dictionaries list by Key's Value list index Using sorted() + lambda	"
test_list = [{""Gfg"": [6, 7, 8], ""is"": 9, ""best"": 10},
             {""Gfg"": [2, 0, 3], ""is"": 11, ""best"": 19},
             {""Gfg"": [4, 6, 9], ""is"": 16, ""best"": 1}]
print(""The original list : "" + str(test_list))
K = ""Gfg""
idx = 2
res = sorted(test_list, key=lambda ele: ele[K][idx])
print(""The required sort order : "" + str(res))
"
write a python program to create dictionary from the lists	"

L1 = ['a', 'b', 'c', 'd']
L2 = [1, 2, 3, 4]
d = dict(zip(L1, L2))
print(f'dictionary:{d}')
"
write a program to replace duplicate word occurence in String	"

str1 = ""IISC is the best. IISC has Classes in the evening for professionals. Classes help to learn new things.""


repl_dict = {'IISC': 'It', 'Classes': 'They'}


str_list = str1.split(' ')


res = set()


for idx, ele in enumerate(str_list):
<TAB>if ele in repl_dict:
        print(str(idx) + '  ' + ele)
        if ele in res:
            str_list[idx] = repl_dict[ele]
        else:
            res.add(ele)


res = ' '.join(str_list)


print(""Replaced String: "" + str(res))
"
"You are given a string. Split the string on a "" "" (space) delimiter and join using a - hyphen."	"def word_join(s):
<TAB>words = s.split(' ')
<TAB>return '-'.join(words)


print(word_join(""This is 17B Assignment""))
"
Sort JSON keys in Python and write it into a file	"import json
sampleJson = {""id"": 1, ""name"": ""value2"", ""age"": 29}


with open(""sampleJson.json"", ""w"") as write_file:
<TAB>json.dump(sampleJson, write_file, indent=4, sort_keys=True)
print(""Done writing JSON data into a file"")
"
write a python program which takes user input tuple and prints length of each tuple element	"userInput = input(""Enter a tuple:"")
x = map(lambda x: len(x), tuple(x.strip() for x in userInput.split(',')))
print(list(x))
"
Write a python function to get the surface area of a cube with side as input	"def cube_surface_area(side):
<TAB>surface_area = 6 * side ** 2
<TAB>return surface_area
"
write a python program that sorts and prints a comma separated list of values	"values = 'one,two,three,four,five'
items = values.split(',')
items.sort()
print(','.join(items))
"
write a python program that alphabetically sorts the words in a sentence and prints it	"sentence = 'the quick brown fox jumps'
sorted_words = sentence.split(' ')
sorted_words.sort()
print(' '.join(sorted_words))
"
Define a class named Rectangle which can be constructed by a length and width. The Rectangle class has a method which can compute the area.	"class Rectangle(object):
<TAB>def __init__(self, l, w):
        self.length = l
        self.width = w

<TAB>def area(self):
        return self.length * self.width
"
34. write a Python function to Find LCM and returb the value	"def compute_lcm(x, y):
<TAB>if x > y:
        greater = x
<TAB>else:
        greater = y

<TAB>while(True):
        if((greater % x == 0) and (greater % y == 0)):
            lcm = greater
            break
        greater += 1

<TAB>return lcm
"
Write a Python program to sort (ascending) a dictionary by value.	"d = {1: 2, 3: 4, 4: 3, 2: 1, 0: 0}


print({k: v for k, v in sorted(d.items(), key=lambda x: x[1])})
"
Please raise a RuntimeError exception.	"raise RuntimeError('something wrong')
"
write a python program which takes 3 numbers as input and to print largest of three numbers using elif statement	"

a = float(input(""Please Enter the First value: ""))
b = float(input(""Please Enter the First value: ""))
c = float(input(""Please Enter the First value: ""))


if (a > b and a > c):
<TAB>print(""{0} is Greater Than both {1} and {2}"". format(a, b, c))
elif (b > a and b > c):
<TAB>print(""{0} is Greater Than both {1} and {2}"". format(b, a, c))
elif (c > a and c > b):
<TAB>print(""{0} is Greater Than both {1} and {2}"". format(c, a, b))
else:
<TAB>print(""Either any two values or all the three values are equal"")
"
Write a function that returns derivative of log of a function	"def derivative_log(x: float) -> float:
<TAB>return (1 / x)
"
75 write a python program to test Boolean Value of Dictionary and print it	"
test_dict = {'gfg': True, 'is': False, 'best': True}

print(""The original dictionary is : "" + str(test_dict))
res = True
for key, value in test_dict.items():
<TAB>if value == False:
        res = False
        break
print(f""Dictionary is {res}"")
"
Write a function with a generator which can iterate the numbers, which are divisible by 7, between a given range 0 and n.	"def putNumbers(n):
<TAB>i = 0
<TAB>while i < n:
        j = i
        i = i + 1
        if j % 7 == 0:
            yield j


for i in reverse(100):
<TAB>print(i)
"
Given a two list of equal size create a set such that it shows the element from both lists in the pair	"firstList = [2, 3, 4, 5, 6, 7, 8]
secondList = [4, 9, 16, 25, 36, 49, 64]
result = zip(firstList, secondList)
resultSet = set(result)
print(resultSet)
"
write a python program to print equal length of string	"

print('ab'.zfill(5))
"
write a program to print keys in a dictionary whose values are greater than a given input.	"test_dict = {'tsai': 4, 'random_key': 2, 'foo': 3, 'bar': 'END'}
K = 3
res = {key: val for key, val in test_dict.items()
       if type(val) != int or val > K}
print(""Values greater than K : "", res.keys())
"
Write a Python Program to Remove the nth Index Character from a Non-Empty String	"

def remove(string, n):
<TAB>first = string[:n]
<TAB>last = string[n + 1:]
<TAB>return first + last
"
Subtract a week from a given date	"from datetime import datetime, timedelta
given_date = datetime(2020, 2, 25)
days_to_subtract = 7
res_date = given_date - timedelta(days=days_to_subtract)
print(res_date)
"
8 write a python function to accept a key, value pair and return a dictionary	"

def create_dictionary(key, value):
<TAB>return {str(key): value}
"
70 Write a Python function to find the single number which occurs odd numbers and other numbers occur even number.	"def odd_occurrence(arr):

<TAB>result = 0

<TAB>for element in arr:
        result = result ^ element

<TAB>return result
"
write a python program to print sum of natural numbers up to num	"

num = 16


if num < 0:
<TAB>print(""Enter a positive number"")
else:
<TAB>sum = 0
<TAB>while(num > 0):
        sum += num
        num -= 1
<TAB>print(""The sum is"", sum)
"
Test if string starts with H	"word = ""Hello World""
check = word.startswith('H')
print(f""String starts with H?:{check}"")
"
Write a function to print all time when angle between hour hand and minute	"def printTime(theta):
<TAB>for hh in range(0, 12):
        for mm in range(0, 60):
            if (calcAngle(hh, mm) == theta):
                print(hh, "":"", mm, sep="""")
                return
<TAB>print(""Input angle not valid."")
<TAB>return


theta = 90.0
printTime(theta)
"
70 write a program to display the powers of 2 using anonymous function	"

terms = 10
result = list(map(lambda x: 2 ** x, range(terms)))


print(""The total terms are:"", terms)
for i in range(terms):
<TAB>print(""2 raised to power"", i, ""is"", result[i])
"
write a python function to print odd numbers between user provided ranges	"

def odd_numbers(lower, upper):
<TAB>for i in range(lower, upper + 1):
        if(i % 2 != 0):
            print(i)
"
Write a function to return the area of a equilateral triangle	"def cal_eq_triangle_area(a: float) -> float:
<TAB>if a:
        return (3**(1 / 2)) * (a**2) / 4
<TAB>else:
        return None
"
write a python program to del the first element of the array/list	"a = [-1, 1, 66.25, 333, 333, 1234.5]
del a[0]
print(a)
"
Python program to get a string which is n (non-negative integer) copies of a given string.	"def larger_string(string1, n):
<TAB>result = """"
<TAB>for i in range(n):
        result = result + string1
<TAB>return result


print(larger_string('abc', 2))
print(larger_string('.py', 3))
"
write a python function that returns every nth element in a list	"

def every_nth(lst, nth):
<TAB>return lst[nth - 1::nth]
"
sort the list	"words.sort()
"
write a python function to find the area of a circle using the user provided radius	"

def area_of_circle(radius):
<TAB>PI = 3.14
<TAB>radius = float(radius)
<TAB>area = PI * radius * radius
<TAB>circumference = 2 * PI * radius
<TAB>print(f'Area Of a Circle {area}')
<TAB>print(f'Circumference Of a Circle {circumference}')
"
"write a program to generate all sentences where subject is in [""I"", ""You""] and verb is in [""Play"", ""Love""] and the object is in [""Hockey"",""Football""]."	"subjects = [""I"", ""You""]
verbs = [""Play"", ""Love""]
objects = [""Hockey"", ""Football""]
for i in range(len(subjects)):
<TAB>for j in range(len(verbs)):
        for k in range(len(objects)):
            sentence = ""%s %s %s."" % (subjects[i], verbs[j], objects[k])
            print(sentence)
"
Write a function that returns a replace values in string with values provided	"def replace_values(s: str, old, new) -> str:
<TAB>s.replace(old, new)
"
Write a function to return the product of the roots of a quadratic equation ax**2 + bx + c = 0	"def prod_of_roots(a: float, b: float):
<TAB>if a:
        return -b / a
<TAB>else:
        return None
"
Write a function that returns log of a function	"def log(x: float) -> float:
<TAB>import math
<TAB>return math.log(x)
"
write a python function to count the occurrence of a given word in a given file	"def check_word_count(word, file):
<TAB>if not os.path.isfile(file):
        raise FileNotFoundError
<TAB>if not isinstance(word, str):
        raise TypeError

<TAB>with open(file, 'r') as f:
        lines = f.readlines()
        words = [l.strip().split(' ') for l in lines]
        words = [word for sublist in words for word in sublist]
        c = Counter(words)
<TAB>return c.get(word, 0)
"
Write a python program to determine the percentage of lowercase and uppercase letters in a string.	"string = input()


length = len(string)


lower = upper = 0


for i in string:
<TAB>if i.islower():
        lower += 1
<TAB>elif i.isupper():
        upper += 1


per_lower = lower / length * 100
per_upper = upper / length * 100
print(""Lower: %.2f%%"" % per_lower)
print(""Upper: %.2f%%"" % per_upper)
"
write a python program to print the number of letters and digits in sentence	"sentence = 'The Quick 123 Fox'
digits = 0
letters = 0
for c in sentence:
<TAB>if c.isdigit():
        digits += 1
<TAB>elif c.isalpha():
        letters += 1
<TAB>else:
        pass
print(f'Digits: {digits}, Letters: {letters}')
"
Write a Python function that takes a list and returns the difference between the biggest and smallest numbers.	"def difference_max_min(lst):
<TAB>return abs(min(lst) - max(lst))
"
write a python function to check if all elements in a list are equal.	"

def all_equal(lst):
<TAB>return len(set(lst)) == 1
"
write a Python program to create multiple list	"

obj = {}
for i in range(1, 11):
<TAB>obj[str(i)] = []
print(f'create multiple list:{obj}')
"
90 write a python program to filter tuples according to list element presence and print it	"

test_list = [(1, 4, 6), (5, 8), (2, 9), (1, 10)]
s = []
tar_list = [6, 10]

for i in test_list:
<TAB>for j in i:
        if j in tar_list:
            s.append(i)
print(s)
"
Write a Python function to add two given lists using map and lambda.	"def add_two_lists(list_1, list_2):
<TAB>result = map(lambda x, y: x + y, list_1, list_2)
<TAB>return result
"
78 By using list comprehension, write a program to print the list after removing the 0th, 2nd, 4th,6th numbers in [12,24,35,70,88,120,155].	"li = [12, 24, 35, 70, 88, 120, 155]
li = [x for (i, x) in enumerate(li) if i % 2 != 0]
print(li)
"
Write a python function to get the surface_area of a cone with radius & slant height as input	"def cone_surface_area(radius, slant_height):
<TAB>surface_area = 3.14 * (radius ** 2) + 3.14 * radius * slant_height
<TAB>return surface_area
"
write a python program to convert a dictionary to list of tuples	"dict_new = {'1': 'A', '2': 'B'}
tup = dict_new.items()
print(list(tup))
"
write a python program using while loop to reverse a number and print the reversed number	"Number = int(input(""Please Enter any Number: ""))
Reverse = 0
while(Number > 0):
<TAB>Reminder = Number % 10
<TAB>Reverse = (Reverse * 10) + Reminder
<TAB>Number = Number // 10

print(""\n Reverse of entered number is = %d"" % Reverse)
"
Write a Python program to create the colon of a tuple.	"

from copy import deepcopy
tuplex = (""HELLO"", 5, [], True)
print(tuplex)
tuplex_colon = deepcopy(tuplex)
tuplex_colon[2].append(50)
"
write a python function to return random selection from itertools.permutations(iterable, r)	"def random_permutation(iterable, r=None):
<TAB>import random
<TAB>pool = tuple(iterable)
<TAB>r = len(pool) if r is None else r
<TAB>return tuple(random.sample(pool, r))
"
write a python function to return the natural logarithm of a number	"def get_natural_log_value(i):
<TAB>import math
<TAB>return(math.log(i))
"
write a Python function to find area of an Ellipse.	"

def findArea(a, b):

<TAB>Area = 3.142 * a * b

<TAB>print(""Area:"", round(Area, 2))


a = 5
b = 4


findArea(a, b)
"
Write a Python function to find the union of two arrays	"def array_union(A, B):
<TAB>union = list(set(A) | set(B))
<TAB>return union
"
write a python function to rotate the given list by n times toward left	"

def rotate(lst, offset):
<TAB>return lst[offset:] + lst[:offset]
"
write a python program to print todays date	"tday = datetime.date.today()
print(tday)
"
1 write a program to get numbers = 1,3,11,42,12,4001	"from collections import Iterable
highestnumber = -999
for i in numbers:
<TAB>if i > highestnumber:
        highestnumber = i
print(numbers.index(highestnumber))
"
Write a function to merge two lists element wise	"

def merge_lists(l1: list, l2: list):
<TAB>return list(zip(l1, l2))
"
52. python function for finding the hyperbolic tangent value of a number	"def tanh(x):
<TAB>

<TAB>return math.tanh(x)
"
38. Python Program to Find Sum of Natural Numbers Using Recursion	"def recur_sum(n):
<TAB>if n <= 1:
        return n
<TAB>else:
        return n + recur_sum(n - 1)
"
53  write a python program to permutations of a given string in python and print the result	"from itertools import permutations
import string
s = ""GEEK""
a = string.ascii_letters
p = permutations(s)


d = []
for i in list(p):
<TAB>if (i not in d):
        d.append(i)
        print(''.join(i))
"
Write a python program to swap first and last element of a list . Print the final list	"
def swapList(newList):
<TAB>size = len(newList)

<TAB>
<TAB>temp = newList[0]
<TAB>newList[0] = newList[size - 1]
<TAB>newList[size - 1] = temp

<TAB>return newList


newList = [12, 35, 9, 56, 24]

print(swapList(newList))
"
Write a function to return the time taken by a given of moving object based of distance travelled in given time	"def cal_time(distance: float, speed: float) -> float:
<TAB>return distance / speed
"
Please generate a random float where the value is between 10 and 100 using Python math module.	"import random
print(random.random() * 100)
"
25. Python Program to Convert Decimal to Binary	"dec = 344
print(""The decimal value of"", dec, ""is:"")
print(bin(dec), ""in binary."")
"
write a Python program to demonstrate working of Extract Unique values dictionary values	"

test_dict = {'gfg': [5, 6, 7, 8],
             'is': [10, 11, 7, 5],
             'best': [6, 12, 10, 8],
             'for': [1, 2, 5]}


print(f""The original dictionary is : {test_dict}"")


res = sorted({ele for val in test_dict.values() for ele in val})


print(f""The unique values list is : {res}"")
"
Define a function which can generate and print a tuple where the value are square of numbers between 1 and 20 (both included).	"def printTuple():
<TAB>li = list()
<TAB>for i in range(1, 21):
        li.append(i**2)
<TAB>print(tuple(li))
"
75 write a program to find the power of a number	"
a = 10
b = 3
result = a**b
print(a, "" to the power of "", b, "" is = "", result)
"
write a python function to split word into chars	"def split(word):
<TAB>return [char for char in word]
"
write python program that would merge two dictionaries by adding the second one into the first	"a = {""a"": 1, ""b"": 3}
b = {""c"": 1, ""d"": 3}
a.update(b)
"
write a python program that takes input a list and square root every term using list comprehension	"

s1 = eval(input(""Enter list ""))
print([i**0.5 for i in s1])
"
Define a function which can generate a dictionary where the keys are numbers between 1 and 20 (both included) and the values are square of keys. The function should just print the values only.	"def print_dict_keys_val_3():
<TAB>d = dict()
<TAB>for i in range(1, 21):
        d[i] = i**2
<TAB>for (k, v) in d.items():
        print(v)
"
write a python function that returns the square of a given input number	"def square(x):
<TAB>return x**2
"
Write a function to implement Pigeonhole Sort */	"def pigeonhole_sort(a):
<TAB>my_min = min(a)
<TAB>my_max = max(a)
<TAB>size = my_max - my_min + 1
<TAB>holes = [0] * size
<TAB>for x in a:
        assert type(x) is int, ""integers only please""
        holes[x - my_min] += 1
<TAB>i = 0
<TAB>for count in range(size):
        while holes[count] > 0:
            holes[count] -= 1
            a[i] = count + my_min
            i += 1


a = [8, 3, 2, 7, 4, 6, 8]
print(""Sorted order is : "", end="" "")
pigeonhole_sort(a)
for i in range(0, len(a)):
<TAB>print(a[i], end="" "")
"
write a python program to print the ascii value of a string	"print([ord(ch) for ch in 'abc'])
"
write a python class called Person that has a name property	"class Person:
<TAB>def __init__(self, name):
        self.name = name
"
Write a program to calculate and print the volume of a cylinder	"r = 3
h = 5
pi = 3.14
volume = pi * (r**2) * h
print(volume)
"
Write a function to return the type roots of a quadratic equation ax**2 + bx + c = 0	"def root_type(a: float, b: float, c: float):
<TAB>if b**2 - 4 * a * c >= 0:
        return 'real'
<TAB>else:
        return 'imaginary'
"
Write a program to swap two variables inplace	"a, b = b, a
"
write a python program that creates a dictionary whose keys are numbers from 1 to 10 and values are squares of the key	"square_dict = {}
for i in range(1, 11):
<TAB>square_dict[i] = i * i
"
a simple data-set	"sample = [1, 2, 3, 4, 5]
print(""variance of the sample is: "", variance(sample))
"
write Python program to demonstrate working of Cummulative Records Product	"

def prod(val):
<TAB>res = 1
<TAB>for ele in val:
        res *= ele
<TAB>return res


test_list = [(2, 4), (6, 7), (5, 1), (6, 10), (8, 7)]


print(""The original list : "" + str(test_list))
res = prod(int(j) for i in test_list for j in i)


print(""The Cummulative product of list is : "" + str(res))
"
11 print how many keys are in a dictionary python	"a = {'foo': 42, 'bar': 69}
print(len(a))
"
Consider an array of non-negative integers. A second array is formed by shuffling the elements of the first array and deleting a random element. Given these two arrays, find which element is missing in the second array.	"first_array = [1, 2, 3, 4, 5, 6, 7]
second_array = [3, 7, 2, 1, 4, 6]


def finder(first_array, second_array):
<TAB>return(sum(first_array) - sum(second_array))


missing_number = finder(first_array, second_array)


print(missing_number)
"
Write a function to return the volume of a sphere	"def cal_sphere_volume(radius: float) -> float:
<TAB>pi = 3.14
<TAB>return (4 / 3) * pi * (radius**3)
"
48 function to show documentation	"def doc_func(*args, **kwargs):

<TAB>pass
"
23 write a function that returns the square root of the third power of every number in a list	"

def comp_power(lst):
<TAB>return list(map(lambda x: x ** 1.5, lst))
"
51 write a python program to check whether the values of a dictionary are in same order as in a list	"

test_dict = {""gfg"": 4, ""is"": 10, ""best"": 11, ""for"": 19, ""geeks"": 1}
sub_list = [4, 10, 11, 19, 1]

l = list(test_dict.values())

if l == sub_list:
<TAB>print(True)
else:
<TAB>print(False)
"
Write a function to calculate the displacement of an object with initial velocity u, time t and acceleration a	"def cal_displacement(initial_velocity: float, accelration: float, time: float) -> float:
<TAB>return initial_velocity * time + .5 * accelration * (time)**2
"
write a python program to use f string	"var1 = 'python language'
print(f'f-string is an good feature in {var1}')
"
removes leading characters	"word = "" xyz ""
lstrip = word.lstrip()
print(f""String ater removal of leading characters:{lstrip}"")
"
write a python function to generate cryptographically strong pseudo-random data	"import secrets


def get_cryptographically_secure_data(n=101):
<TAB>return secrets.token_bytes(n), secrets.token_hex(n)
"
Write a function to return the lateral surface area of a cone	"def cal_cone_lateral_surf_area(height, radius):
<TAB>pi = 3.14
<TAB>return pi * radius * (((height**2) + (radius**2))**(1 / 2))
"
Write a python program to Check and print if string is palindrome using Stack	"

class Stack:
<TAB>def __init__(self):
        self.items = []

<TAB>def is_empty(self):
        return self.items == []

<TAB>def push(self, data):
        self.items.append(data)

<TAB>def pop(self):
        return self.items.pop()


s = Stack()
text = ""ABA""

for character in text:
<TAB>s.push(character)

reversed_text = ''
while not s.is_empty():
<TAB>reversed_text = reversed_text + s.pop()

if text == reversed_text:
<TAB>print('The string is a palindrome.')
else:
<TAB>print('The string is not a palindrome.')
"
Write Python Program to Convert Celsius To Fahrenheit	"celsius = 37.5
fahrenheit = (celsius * 1.8) + 32
print('%0.1f degree Celsius is equal to %0.1f degree Fahrenheit' %
      (celsius, fahrenheit))
"
write a python function to convert hours to seconds	"

def convert_to_seconds(num_hours):
<TAB>minutes = num_hours * 60
<TAB>seconds = minutes * 60
<TAB>return seconds
"
write a Python function to Find the Intersection of Two Lists	"def intersection(a, b):
<TAB>return list(set(a) & set(b))
"
Write a function to return the perimeter of a square	"def cal_perimeter_square(side):
<TAB>return 4 * side
"
Write a python function to remove an item from list	"def deleteelement(list, item):
<TAB>list.remove(item)
<TAB>return list
"
Define a function that can accept two strings as input and concatenate them and then print it in console.	"def add(s1, s2):
<TAB>print(s1 + s2)
"
Write a Python program to typecast given input to float	"num = float(input(""Input a value: ""))
print(num)
"
"write Python3 code to demonstrate working of Concatenating tuples to nested tuples using + operator + "", "" operator during initialization"	"
test_tup1 = (3, 4),
test_tup2 = (5, 6),

print(""The original tuple 1 : "" + str(test_tup1))
print(""The original tuple 2 : "" + str(test_tup2))
res = test_tup1 + test_tup2
print(""Tuples after Concatenating : "" + str(res))
"
write a python program to merge two dictionary	"

x = {'a': 1, 'b': 2}
y = {'c': 3, 'd': 4}


z = {**x, **y}
print(z)
"
write a python program to print bitwise XOR operation	"a = 60
b = 13
a_xor_b = a ^ b
print(a_xor_b)
"
31 get the most common number in python	"from statistics import mode
mode((1, 2, 4, 4, 5, 4, 4, 2, 3, 8, 4, 4, 4))
"
56 function to all implementation	"def all_imp(a):
<TAB>return all(a)
"
write a python function to return words in a sentence in sorted order	"def get_sorted_words(sentence):
<TAB>words = [word for word in sentence.split()]
<TAB>words.sort()
<TAB>return words
"
49 Write a generator that returns True / False randomly	"

import random


def generate_tf():
<TAB>rand = random.random()
<TAB>if rand > 0.5:
        yield True
<TAB>else:
        yield False
"
Convert decimal number to octal	"print('%o,' % (8))
"
Write a python function to Copy the Contents of One File into Another	"

def copy(from_file, to_file):
<TAB>with open(from_file) as f:
        with open(to_file, ""w"") as f1:
            for line in f:
                f1.write(line)
"
write a Python function to check if a string is binary or not	"

def check2(string):

<TAB>t = '01'

<TAB>count = 0
<TAB>for char in string:

        if char not in t:
            count = 1
            break
        else:
            pass
<TAB>if count:
        print(""No, string is not binary"")
<TAB>else:
        print(""Yes, string is binary"")


string = ""001021010001010""


check2(string)
"
Write a Python function to calculate dot product of two given sequence	"

def dot_product(a, b):
<TAB>return sum(e[0] * e[1] for e in zip(a, b))
"
write a python function to return union of two sets	"def union_set(set1, set2):
<TAB>return set1 | set2
"
write a program to randomly generate a list with 5 numbers, which are divisible by 5 and 7 , between 1 and 1000 inclusive.	"import random
print(random.sample([i for i in range(1, 1001) if i %
                     5 == 0 and i % 7 == 0], 5))
"
write Python3 code to demonstrate Combining tuples in list of tuples Using list comprehension	"test_list = [([1, 2, 3], 'gfg'), ([5, 4, 3], 'cs')]
print(""The original list : "" + str(test_list))
res = [(tup1, tup2) for i, tup2 in test_list for tup1 in i]
print(""The list tuple combination : "" + str(res))
"
Write a Python Program to Print the Pascal’s triangle for n number of rows given by the user	"

n = 10
a = []
for i in range(n):
<TAB>a.append([])
<TAB>a[i].append(1)
<TAB>for j in range(1, i):
        a[i].append(a[i - 1][j - 1] + a[i - 1][j])
<TAB>if(n != 0):
        a[i].append(1)
for i in range(n):
<TAB>print(""   "" * (n - i), end="" "", sep="" "")
<TAB>for j in range(0, i + 1):
        print('{0:6}'.format(a[i][j]), end="" "", sep="" "")
<TAB>print()
"
26. Python Program to Convert Decimal to Octal	"dec = 344
print(""The decimal value of"", dec, ""is:"")
print(oct(dec), ""in octal."")
"
write a python function that takes two strings as a parameter and prints the shorter one	"def print_shorter(str1, str2):
<TAB>if (len(str1) > len(str2)):
        print(str2)
<TAB>else:
        print(str1)
"
Write a program to print a given string, replacing all the vowels with '_'	"st = ""Where is this going? Could you please help me understand!""
vowels = ""AEIOUaeiou""


for v in vowels:
<TAB>st = st.replace(v, '_')


print(st)
"
write a python function to Calculate the date of n days from the given date.	"

from datetime import datetime, timedelta


def add_days(n, d=datetime.today()):
<TAB>return d + timedelta(n)
"
Write a Python function that calculate interior angle of a equilateral polygon	"

def interior_angle(no_of_sides):
<TAB>return (no_of_sides - 2) * 180 / no_of_sides
"
write a python program to extract the file name and extension of a file	"import os
filename, extension = os.path.splitext('/path/to/some/file.ext')
"
Write a python function to count the number of Words in a Text File	"def check_words():
<TAB>fname = input(""file name: "")
<TAB>num_words = 0
<TAB>with open(fname, 'r') as f:
        for line in f:
            words = line.split()
            num_words += len(words)
<TAB>print(""Number of words = "", num_words)
"
Define a function which can generate and print a list where the values are square of numbers between 1 and 20 (both included).	"def printList():
<TAB>li = list()
<TAB>for i in range(1, 21):
        li.append(i**2)
<TAB>print(li)
"
write a python program to remove words less than a specified length from a sentence	"sentence = 'this is my sentence and i will write it my way'
minlength = 3
result = [word for word in sentence.split(' ') if len(word) >= minlength]
"
write a python program to print all integers that aren’t divisible by either 2 or 3 and lies between 1 and 50.	"for i in range(0, 50):
<TAB>if((i % 2 != 0) & (i % 3 != 0)):
        print(i)
"
Counting total Digits in a string	"str1 = ""abc4234AFde""
digitCount = 0
for i in range(0, len(str1)):
<TAB>char = str1[i]
<TAB>if(char.isdigit()):
        digitCount += 1
print('Number of digits: ', digitCount)
"
Write a Python Program to Search the Number of Times a Particular Number Occurs in a List	"a = [2, 3, 2, 3, 4, 4, 5, 5, 6, 6, 6]
k = 0
num = 6
for j in a:
<TAB>if(j == num):
        k = k + 1
print(""Number of times"", num, ""appears is"", k)
"
write Python Program to print the Union of two Lists	"l1 = [11, 22, 33, 44]
l2 = [55, 66, 77, 88]
union = list(set().union(l1, l2))
print('The Union of two lists is:', union)
"
write Python function to Clear the Rightmost Set Bit of a Number	"def clear_rightmost_set_bit(n):
<TAB>return n & (n - 1)
"
34. Python Program to Map two lists into a Dictionary	"

keys = ['name', 'age', 'job']
values = ['John', 25, 'Developer']


myDict = {k: v for k, v in zip(keys, values)}
print(""Dictionary Items  :  "", myDict)
"
Write a program to to print the contents of a given file	"file_name = 'temp.txt'
with open(file_name, 'r') as f:
<TAB>print(f.read())
"
write a python function to convert a given string into a list of words.	"

import re


def words(s, pattern='[a-zA-Z-]+'):
<TAB>return re.findall(pattern, s)
"
